Entry	Gene names	Subcellular location [CC]
O14966	RAB29 RAB7L1	SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Lipid-anchor {ECO:0000305}; Cytoplasmic side {ECO:0000305}. Cytoplasm {ECO:0000269|PubMed:24788816, ECO:0000269|PubMed:29212815}. Cytoplasm, perinuclear region {ECO:0000269|PubMed:24788816}. Golgi apparatus {ECO:0000269|PubMed:22042847}. Golgi apparatus, trans-Golgi network {ECO:0000269|PubMed:24788816, ECO:0000269|PubMed:29212815}. Vacuole {ECO:0000269|PubMed:22042847}. Cytoplasm, cytoskeleton {ECO:0000269|PubMed:22042847}. Note=Colocalizes with LRRK2 along tubular structures emerging from Golgi apparatus (PubMed:29212815). Colocalizes with GM130 at the Golgi apparatus (PubMed:22042847). Colocalizes with dynamic tubules emerging from and retracting to the Golgi apparatus (PubMed:22042847). Colocalizes with TGN46 at the trans-Golgi network (TGN) (PubMed:24788816). In Salmonella enterica serovar Typhi (S.Typhi) infected epithelial cells, is recruited and colocalized with both S.Typhi-containing vacuoles and dynamic tubules as well as those emerging from the vacuole toward the cell periphery (PubMed:22042847). {ECO:0000269|PubMed:22042847, ECO:0000269|PubMed:24788816, ECO:0000269|PubMed:29212815}.
Q15311	RALBP1 RLIP1 RLIP76	SUBCELLULAR LOCATION: Membrane {ECO:0000269|PubMed:11437348}; Peripheral membrane protein {ECO:0000269|PubMed:11437348}.
Q6GMV3	PTRHD1 C2orf79	
P0DP57	SLURP2	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:16575903}.
Q86UU9	TAC4	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.
Q96MN5	TCEANC2 C1orf83	SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00649, ECO:0000255|PROSITE-ProRule:PRU00651}.
Q9NR97	TLR8 UNQ249/PRO286	SUBCELLULAR LOCATION: Membrane {ECO:0000250}; Single-pass type I membrane protein {ECO:0000250}.
O75443	TECTA	SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Lipid-anchor, GPI-anchor {ECO:0000305}; Extracellular side {ECO:0000305}. Secreted, extracellular space, extracellular matrix. Note=Found in the non-collagenous matrix of the tectorial membrane. {ECO:0000250}.
Q8TBZ6	TRMT10A RG9MTD2	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:24204302}. Nucleus, nucleolus {ECO:0000269|PubMed:24204302}.
Q96IK0	TMEM101	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.
Q6ZWK6	TMPRSS11F HATL4	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass type II membrane protein {ECO:0000305}.
Q8IYU4	UBQLNL	
Q9NVE5	USP40	
Q6A555	TXNDC8 SPTRX3 TRX6	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:15181017}. Golgi apparatus {ECO:0000269|PubMed:15181017}.
Q14146	URB2 KIAA0133	SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000269|PubMed:15635413}.
Q96K62	ZBTB45 ZNF499	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
Q9BRT2	UQCC2 C6orf125 MNF1	SUBCELLULAR LOCATION: Mitochondrion matrix, mitochondrion nucleoid. Mitochondrion. Mitochondrion intermembrane space {ECO:0000250}. Mitochondrion matrix {ECO:0000250}. Mitochondrion inner membrane {ECO:0000250}. Note=Predominantly expressed in the mitochondrial inner membrane. {ECO:0000250}.
Q9UKY1	ZHX1	SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00108, ECO:0000269|PubMed:12237128, ECO:0000269|PubMed:17056598}. Note=Colocalized in the nucleus with DNMT3B.
Q9Y2L8	ZKSCAN5 KIAA1015 ZFP95	SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00187}.
Q9GZS3	WDR61	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:16024656}. Cytoplasm {ECO:0000305|PubMed:16024656}.
Q9UJW8	ZNF180	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
Q2M3X9	ZNF674	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
Q96PQ6	ZNF317 KIAA1588	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
Q9Y3M9	ZNF337	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
Q8NE65	ZNF738	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
B7Z6K7	ZNF814	
Q14585	ZNF345	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
Q9NQX6	ZNF331 RITA ZNF361 ZNF463	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
P17036	ZNF3 KOX25	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
P35443	THBS4 TSP4	SUBCELLULAR LOCATION: Endoplasmic reticulum {ECO:0000250|UniProtKB:Q9Z1T2}. Sarcoplasmic reticulum {ECO:0000250|UniProtKB:Q9Z1T2}. Secreted {ECO:0000250|UniProtKB:Q9Z1T2}. Secreted, extracellular space {ECO:0000250|UniProtKB:Q9Z1T2}. Secreted, extracellular space, extracellular matrix {ECO:0000250|UniProtKB:Q9Z1T2}.
O95785	WIZ ZNF803	SUBCELLULAR LOCATION: Nucleus {ECO:0000250}.
O95859	TSPAN12 NET2 TM4SF12 UNQ774/PRO1568	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}.
Q96N77	ZNF641	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:16343441}.
P35442	THBS2 TSP2	
Q6ZS27	ZNF662	SUBCELLULAR LOCATION: Nucleus {ECO:0000250}.
Q96K58	ZNF668	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
P17024	ZNF20 KOX13	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
P98168	ZXDA	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
Q7Z3U7	MON2 KIAA1040 SF21	
Q8NAT1	POMGNT2 AGO61 C3orf39 EOGTL GTDC2	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:23929950, ECO:0000269|PubMed:27066570}; Single-pass type II membrane protein {ECO:0000269|PubMed:23929950}.
Q9Y3P9	RABGAP1 HSPC094	SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000269|PubMed:10202141}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000269|PubMed:10202141}. Note=Predominantly cytosolic but also associated with the centrosome. {ECO:0000269|PubMed:10202141}.
Q13472	TOP3A TOP3	SUBCELLULAR LOCATION: Mitochondrion matrix {ECO:0000269|PubMed:29290614}.
Q99952	PTPN18 BDP1	SUBCELLULAR LOCATION: Nucleus {ECO:0000250}. Cytoplasm {ECO:0000250}.
Q96T37	RBM15 OTT OTT1	SUBCELLULAR LOCATION: Nucleus speckle {ECO:0000269|PubMed:19586903, ECO:0000269|PubMed:24100041}. Nucleus, nucleoplasm {ECO:0000269|PubMed:17001072, ECO:0000269|PubMed:19786495, ECO:0000269|PubMed:24100041}. Nucleus envelope {ECO:0000269|PubMed:19586903}. Nucleus membrane {ECO:0000269|PubMed:19786495}; Peripheral membrane protein {ECO:0000269|PubMed:19786495}. Note=Colocalizes at the nuclear pore with DBP5 and NXF1. {ECO:0000269|PubMed:19786495}.
P43007	SLC1A4 ASCT1 SATT	SUBCELLULAR LOCATION: Membrane {ECO:0000269|PubMed:17081065}; Multi-pass membrane protein {ECO:0000269|PubMed:17081065}. Melanosome {ECO:0000269|PubMed:17081065}. Note=Identified by mass spectrometry in melanosome fractions from stage I to stage IV.
A3KN83	SBNO1 MOP3	
Q96IW7	SEC22A SEC22L2	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}.
P63220	RPS21	SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000269|PubMed:25957688}. Cytoplasm {ECO:0000305|PubMed:23636399, ECO:0000305|PubMed:25901680}. Rough endoplasmic reticulum {ECO:0000250|UniProtKB:P63221}. Note=Detected on cytosolic polysomes (PubMed:25957688). Detected in ribosomes that are associated with the rough endoplasmic reticulum (By similarity). {ECO:0000250|UniProtKB:P63221, ECO:0000269|PubMed:25957688}.
O15273	TCAP	SUBCELLULAR LOCATION: Cytoplasm, myofibril, sarcomere {ECO:0000269|PubMed:16713295}.
Q8N616	LINC00311 NCRNA00311 TMEM148	
Q9BSA9	TMEM175	SUBCELLULAR LOCATION: Endosome membrane {ECO:0000269|PubMed:26317472}; Multi-pass membrane protein {ECO:0000255}. Lysosome membrane {ECO:0000269|PubMed:26317472}; Multi-pass membrane protein {ECO:0000255}.
Q86T26	TMPRSS11B HATL5	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:24498351}; Single-pass type II membrane protein {ECO:0000305}.
Q6NUQ4	TMEM214 PP446	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:23661706}; Multi-pass membrane protein {ECO:0000269|PubMed:23661706}.
Q9H0V1	TMEM168	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.
Q66K66	TMEM198	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}. Cell membrane {ECO:0000250}. Cytoplasmic vesicle {ECO:0000250}. Note=Largely located to vesicle-like structures. {ECO:0000250}.
Q96EC8	YIPF6	SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000269|PubMed:27999994}; Multi-pass membrane protein {ECO:0000305}. Note=Evenly distributed between cis- and trans-Golgi apparatus (PubMed:27999994). Mainly localizes within medial-/trans-Golgi and trans-Golgi network (TGN), while less so within cis-Golgi (PubMed:28286305). {ECO:0000269|PubMed:27999994, ECO:0000269|PubMed:28286305}.
Q9HAV4	XPO5 KIAA1291 RANBP21	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:11777942}. Cytoplasm {ECO:0000269|PubMed:11777942}. Note=Shuttles between the nucleus and the cytoplasm.
Q6ZRP5		
Q499Y3		
Q495M9	USH1G SANS	SUBCELLULAR LOCATION: Cytoplasm, cytosol. Cytoplasm, cytoskeleton. Cell membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}. Note=Detected at the tip of cochlear hair cell stereocilia. Recruited to the cell membrane via interaction with CDH23 or PCDH15 (By similarity). {ECO:0000250}.
P18887	XRCC1	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:17353262, ECO:0000269|PubMed:28002403}. Note=Moves from the nucleoli to the global nuclear chromatin upon DNA damage. {ECO:0000269|PubMed:28002403}.
O00507	USP9Y DFFRY	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}.
A0A0B4J280	TRAV40	SUBCELLULAR LOCATION: Cell membrane {ECO:0000303|PubMed:20452950}.
A0A0A6YYJ7	TRAV8-3	SUBCELLULAR LOCATION: Cell membrane {ECO:0000303|PubMed:20452950}.
P11441	UBL4A DXS254E GDX UBL4	SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000269|PubMed:20676083, ECO:0000269|PubMed:21636303}. Nucleus {ECO:0000269|PubMed:21636303}.
Q8IWV8	UBR2 C6orf133 KIAA0349	SUBCELLULAR LOCATION: Nucleus {ECO:0000250}. Note=Associated with chromatin during meiosis.
Q7RTX1	TAS1R1 GPR70 T1R1 TR1 GM148	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
Q9UNX4	WDR3	SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000269|PubMed:12429849}.
P57081	WDR4	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:15861136, ECO:0000269|PubMed:26751069}. Chromosome {ECO:0000269|PubMed:26751069}. Note=Localizes at the site of nascent DNA synthesis. {ECO:0000269|PubMed:26751069}.
P58317	ZNF121 ZNF20	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
Q8WVS4	WDR60	SUBCELLULAR LOCATION: Cell projection, cilium {ECO:0000269|PubMed:23910462}. Note=Located at the base of the primary cilium in serum-starved fibroblasts.
Q9BZM6	ULBP1 N2DL1 RAET1I	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:12782710}; Lipid-anchor, GPI-anchor {ECO:0000269|PubMed:12782710}. Endoplasmic reticulum {ECO:0000269|PubMed:12782710}. Note=In CMV-infected fibroblasts, detected in the endoplasmic reticulum/cis-Golgi. {ECO:0000269|PubMed:12782710}.
O75820	ZNF189	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
Q9UQR1	ZNF148 ZBP89	SUBCELLULAR LOCATION: Nucleus.
Q70J99	UNC13D	SUBCELLULAR LOCATION: Cytoplasm. Membrane; Peripheral membrane protein. Late endosome. Recycling endosome. Lysosome. Note=Colocalizes with cytotoxic granules at the plasma membrane. Localizes to endosomal exocytic vesicles.
P11172	UMPS OK/SW-cl.21	
Q8N2C7	UNC80 C2orf21 KIAA1843	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.
Q5CZA5	ZNF805	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
Q9H7R0	ZNF442	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
Q8NB42	ZNF527 KIAA1829	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
Q3MIS6	ZNF528 KIAA1827	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
Q15631	TSN	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:11801738}. Nucleus {ECO:0000269|PubMed:11801738}.
Q99598	TSNAX TRAX	SUBCELLULAR LOCATION: Cytoplasm, perinuclear region. Golgi apparatus {ECO:0000250}. Nucleus. Note=Accumulate in the Golgi complex of mid-late pachytene spermatocytes (By similarity). Expressed in the cytoplasm in the presence of TSN. {ECO:0000250}.
Q01534	TSPY1 TSPY	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:8923009}. Nucleus {ECO:0000269|PubMed:8923009}. Note=Predominantly cytoplasmic. Also found in nucleus.
Q9BXA7	TSSK1B SPOGA1 SPOGA4 STK22A STK22D TSSK1 FKSG81	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Cytoplasmic vesicle, secretory vesicle, acrosome {ECO:0000250}. Cell projection, cilium, flagellum {ECO:0000250}. Note=In spermatozoa, present in the sperm head and in the flagellum. {ECO:0000250}.
Q9Y5U2	TSSC4	
Q9BXA6	TSSK6 SSTK FKSG82	
Q9UK11	ZNF223	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
O14905	WNT9B WNT14B WNT15 UNQ6973/PRO21956	SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000305}. Secreted {ECO:0000269|PubMed:26902720}.
P17023	ZNF19 KOX12	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
Q9ULT0	TTC7A KIAA1140 TTC7	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:25546680}. Cell membrane {ECO:0000250|UniProtKB:Q86TV6}. Note=Localizes to the cytosol and is recruited to the plasma membrane following interaction with EFR3 (EFR3A or EFR3B). {ECO:0000250|UniProtKB:Q86TV6}.
Q3MJ62	ZSCAN23 ZNF390 ZNF453	SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00187}.
Q99536	VAT1	SUBCELLULAR LOCATION: Cytoplasm. Mitochondrion outer membrane; Peripheral membrane protein. Note=The majority is localized in the cytoplasm and a small amount is associated with mitochondria. {ECO:0000250}.
Q9UPY5	SLC7A11	SUBCELLULAR LOCATION: Membrane {ECO:0000269|PubMed:15151999}; Multi-pass membrane protein {ECO:0000269|PubMed:15151999}.
Q9Y4I5	TESMIN MTL5	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:Q9WTJ6}. Nucleus {ECO:0000250|UniProtKB:Q9WTJ6}. Note=Predominantly localized to the cytoplasm. Translocates from the cytoplasm to the nucleus in the G2/M transition upon treatment with cadmium, cobalt or zinc. {ECO:0000250|UniProtKB:Q9WTJ6}.
O15439	ABCC4 MRP4	SUBCELLULAR LOCATION: Membrane; Multi-pass membrane protein.
Q5TGP6	MROH9 C1orf129	
P22103		
Q86UW6	N4BP2 B3BP KIAA1413	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}.
Q8IXW5	RPAP2 C1orf82	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:22137580}. Nucleus {ECO:0000269|PubMed:22137580}. Note=Shuttles between the cytoplasm and the nucleus in a CRM1-dependent manner.
Q96AX2	RAB37	SUBCELLULAR LOCATION: Cytoplasmic vesicle. Note=Secretory granules. {ECO:0000250}.
P10826	RARB HAP NR1B2	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:28167758}. Cytoplasm {ECO:0000269|PubMed:28167758}.; SUBCELLULAR LOCATION: [Isoform Beta-1]: Nucleus.; SUBCELLULAR LOCATION: [Isoform Beta-2]: Nucleus.; SUBCELLULAR LOCATION: [Isoform Beta-4]: Cytoplasm.
P29350	PTPN6 HCP PTP1C	SUBCELLULAR LOCATION: Cytoplasm. Nucleus. Note=In neurons, translocates into the nucleus after treatment with angiotensin II (By similarity). Shuttles between the cytoplasm and nucleus via its association with PDPK1. {ECO:0000250}.
P61313	RPL15 EC45 TCBAP0781	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Lipid-anchor {ECO:0000305}.
Q9BQ04	RBM4B RBM30	SUBCELLULAR LOCATION: Nucleus. Nucleus, nucleolus.
Q14498	RBM39 HCC1 RNPC2	SUBCELLULAR LOCATION: Nucleus speckle. Note=Concentrated in nuclear speckles. Colocalizes with the core spliceosomal snRNP proteins.
Q9NZH5	PTTG2	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Nucleus {ECO:0000250}.
Q3LXA3	TKFC DAK	
Q9GZZ9	UBA5 UBE1DC1	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:18442052, ECO:0000269|PubMed:26872069}. Nucleus {ECO:0000269|PubMed:18442052}. Golgi apparatus {ECO:0000269|PubMed:26872069}. Note=Localizes mainly in the cytoplasm, while it localizes to the nucleus in presence of SUMO2 (PubMed:18442052).
Q16763	UBE2S E2EPF OK/SW-cl.73	
Q7Z6J8	UBE3D C6orf157 H10BH UBE2CBP	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}.
E5RIL1	UPK3BL2	SUBCELLULAR LOCATION: Membrane {ECO:0000255}; Single-pass type I membrane protein {ECO:0000255}.
Q9UK80	USP21 USP23 PP1490	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:21888622}. Nucleus {ECO:0000269|PubMed:21888622}.
Q9HBJ7	USP29	
Q86YH2	ZNF280B SUHW2 ZNF279 ZNF632	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
A6NNY8	USP27X USP22L USP27	SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000250|UniProtKB:Q8CEG8}. Nucleus {ECO:0000250|UniProtKB:Q8CEG8}.
Q70EK8	USP53 KIAA1350	SUBCELLULAR LOCATION: Cell junction, tight junction {ECO:0000250|UniProtKB:P15975}.
Q86UV5	USP48 USP31	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:16214042}. Nucleus {ECO:0000269|PubMed:16214042}.
Q8N7P7		
Q6P3V2	ZNF585A	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
Q6N043	ZNF280D KIAA1584 SUHW4 ZNF634	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
Q9BTP6	ZBED2	
P86452	ZBED6	SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:D2EAC2}. Nucleus, nucleolus {ECO:0000250|UniProtKB:D2EAC2}. Note=Located predominantly in the nucleolus but is also dispersed throughout the nucleus. {ECO:0000250|UniProtKB:D2EAC2}.
Q14CS0	UBXN2B	SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:P0C627}. Cytoplasm, cytosol {ECO:0000250|UniProtKB:P0C627}. Endoplasmic reticulum {ECO:0000250|UniProtKB:P0C627}. Golgi apparatus {ECO:0000250|UniProtKB:P0C627}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000250|UniProtKB:Q0KL01}. Note=Localizes to centrosome during mitotic prophase and metaphase. {ECO:0000250|UniProtKB:Q0KL01}.
O96006	ZBED1 ALTE DREF KIAA0785 TRAMP	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:12663651}. Note=In granular structures.
A2A288	ZC3H12D C6orf95 MCPIP4 TFL	SUBCELLULAR LOCATION: Cytoplasm, P-body {ECO:0000269|PubMed:26134560}. Note=Colocalizes with ZC3H12A in GW bodies (GWBs) (PubMed:26134560). {ECO:0000269|PubMed:26134560}.; SUBCELLULAR LOCATION: [Isoform 1]: Cytoplasm. Note=Localized as discrete granules. Colocalized with mRNA-processing body markers, AGO2 and DCP1A, but not with a stress granule maker, TIA1, in the cytoplasm.; SUBCELLULAR LOCATION: [Isoform 3]: Cytoplasm. Nucleus.
Q53FD0	ZC2HC1C C14orf140 FAM164C	
Q2T9J0	TYSND1	SUBCELLULAR LOCATION: Peroxisome {ECO:0000269|PubMed:22002062}.
Q8IZN3	ZDHHC14	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.
P04818	TYMS TS OK/SW-cl.29	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:21876188}. Cytoplasm {ECO:0000269|PubMed:21876188}. Mitochondrion {ECO:0000269|PubMed:21876188}. Mitochondrion matrix {ECO:0000269|PubMed:21876188}. Mitochondrion inner membrane {ECO:0000269|PubMed:21876188}.
Q5W0Z9	ZDHHC20	SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000269|PubMed:29326245}; Multi-pass membrane protein {ECO:0000269|PubMed:29326245}. Cell membrane {ECO:0000269|PubMed:27153536}; Multi-pass membrane protein {ECO:0000269|PubMed:29326245}. Cytoplasm, perinuclear region {ECO:0000269|PubMed:27153536}.
